Blender 4.3.2
Fra:1 Mem:86.75M (Peak 86.75M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope15_0.95
Fra:1 Mem:86.87M (Peak 86.87M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post16
Fra:1 Mem:86.90M (Peak 86.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip16
Fra:1 Mem:86.91M (Peak 86.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope16_0.35
Fra:1 Mem:86.92M (Peak 86.92M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope16_0.95
Fra:1 Mem:86.92M (Peak 86.93M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post17
Fra:1 Mem:87.03M (Peak 87.03M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip17
Fra:1 Mem:87.04M (Peak 87.04M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope17_0.35
Fra:1 Mem:87.05M (Peak 87.05M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope17_0.65
Fra:1 Mem:87.08M (Peak 87.08M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope17_0.95
Fra:1 Mem:87.13M (Peak 87.13M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post18
Fra:1 Mem:87.24M (Peak 87.24M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip18
Fra:1 Mem:87.24M (Peak 87.24M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope18_0.65
Fra:1 Mem:87.27M (Peak 87.27M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope18_0.95
Fra:1 Mem:87.31M (Peak 87.31M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip19
Fra:1 Mem:87.36M (Peak 87.36M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope19_0.35
Fra:1 Mem:87.41M (Peak 87.41M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope19_0.65
Fra:1 Mem:87.41M (Peak 87.41M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post20
Fra:1 Mem:87.42M (Peak 87.42M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip20
Fra:1 Mem:87.47M (Peak 87.47M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope20_0.35
Fra:1 Mem:87.51M (Peak 87.51M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope20_0.65
Fra:1 Mem:87.61M (Peak 87.61M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope20_0.95
Fra:1 Mem:87.61M (Peak 87.61M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post21
Fra:1 Mem:87.62M (Peak 87.62M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip21
Fra:1 Mem:87.68M (Peak 87.68M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope21_0.35
Fra:1 Mem:87.68M (Peak 87.68M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope21_0.65
Fra:1 Mem:87.76M (Peak 87.76M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope21_0.95
