Blender 4.3.2
Fra:1 Mem:36.42M (Peak 36.42M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword15
Fra:1 Mem:36.42M (Peak 36.42M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KBody
Fra:1 Mem:36.45M (Peak 36.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KCrownBand
Fra:1 Mem:36.45M (Peak 36.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor15
Fra:1 Mem:36.47M (Peak 36.47M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSpike0
Fra:1 Mem:36.50M (Peak 36.50M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSpike1
Fra:1 Mem:36.51M (Peak 36.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSpike2
Fra:1 Mem:36.51M (Peak 36.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSpike3
Fra:1 Mem:36.53M (Peak 36.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSpike4
Fra:1 Mem:36.56M (Peak 36.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KCape
Fra:1 Mem:36.57M (Peak 36.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KArm-1
Fra:1 Mem:36.60M (Peak 36.60M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KArm1
Fra:1 Mem:36.62M (Peak 36.62M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KLeg-1
Fra:1 Mem:36.65M (Peak 36.65M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KLeg1
Fra:1 Mem:36.66M (Peak 36.66M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KEyeL
Fra:1 Mem:36.67M (Peak 36.67M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KEyeR
Fra:1 Mem:36.68M (Peak 36.68M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket-0.45_-0.45
Fra:1 Mem:36.74M (Peak 36.74M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket2-0.45_-0.45
Fra:1 Mem:36.76M (Peak 36.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket0.45_-0.45
Fra:1 Mem:36.79M (Peak 36.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket20.45_-0.45
Fra:1 Mem:36.79M (Peak 36.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket-0.45_0.45
Fra:1 Mem:36.80M (Peak 36.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket2-0.45_0.45
Fra:1 Mem:36.84M (Peak 36.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket0.45_0.45
Fra:1 Mem:36.84M (Peak 36.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bracket20.45_0.45
Fra:1 Mem:36.85M (Peak 36.85M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPKing
Fra:1 Mem:36.86M (Peak 36.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPTower
Fra:1 Mem:36.88M (Peak 36.88M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody0
Fra:1 Mem:36.90M (Peak 36.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead0
Fra:1 Mem:36.90M (Peak 36.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm0
Fra:1 Mem:36.94M (Peak 36.94M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor0
Fra:1 Mem:36.96M (Peak 36.96M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword0
Fra:1 Mem:37.00M (Peak 37.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg0_-1
Fra:1 Mem:37.02M (Peak 37.02M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg0_1
Fra:1 Mem:37.03M (Peak 37.03M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody1
Fra:1 Mem:37.03M (Peak 37.03M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead1
Fra:1 Mem:37.05M (Peak 37.05M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm1
Fra:1 Mem:37.11M (Peak 37.11M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor1
Fra:1 Mem:37.13M (Peak 37.13M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword1
Fra:1 Mem:37.15M (Peak 37.15M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead15
Fra:1 Mem:37.15M (Peak 37.15M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg1_-1
Fra:1 Mem:37.17M (Peak 37.17M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg1_1
Fra:1 Mem:37.25M (Peak 37.25M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody2
Fra:1 Mem:37.25M (Peak 37.25M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead2
Fra:1 Mem:37.30M (Peak 37.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm2
Fra:1 Mem:37.34M (Peak 37.34M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor2
Fra:1 Mem:37.38M (Peak 37.38M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword2
Fra:1 Mem:37.40M (Peak 37.40M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg14_1
Fra:1 Mem:37.41M (Peak 37.41M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg2_-1
Fra:1 Mem:37.43M (Peak 37.43M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg2_1
Fra:1 Mem:37.43M (Peak 37.43M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody3
Fra:1 Mem:37.46M (Peak 37.46M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg14_-1
Fra:1 Mem:37.47M (Peak 37.47M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead3
Fra:1 Mem:37.51M (Peak 37.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm3
Fra:1 Mem:37.52M (Peak 37.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor3
Fra:1 Mem:37.57M (Peak 37.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword3
Fra:1 Mem:37.60M (Peak 37.60M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg3_-1
Fra:1 Mem:37.61M (Peak 37.61M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor14
Fra:1 Mem:37.63M (Peak 37.63M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg3_1
Fra:1 Mem:37.64M (Peak 37.64M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm14
Fra:1 Mem:37.68M (Peak 37.68M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody4
Fra:1 Mem:37.70M (Peak 37.70M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead14
Fra:1 Mem:37.71M (Peak 37.71M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead4
Fra:1 Mem:37.78M (Peak 37.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody14
Fra:1 Mem:37.79M (Peak 37.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm4
Fra:1 Mem:37.82M (Peak 37.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg13_1
Fra:1 Mem:37.84M (Peak 37.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg13_-1
Fra:1 Mem:37.86M (Peak 37.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword13
Fra:1 Mem:37.87M (Peak 37.87M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor4
Fra:1 Mem:37.89M (Peak 37.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor13
Fra:1 Mem:37.90M (Peak 37.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword4
Fra:1 Mem:37.91M (Peak 37.91M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm13
