Blender 4.3.2
Fra:1 Mem:69.11M (Peak 69.11M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem4
Fra:1 Mem:69.19M (Peak 69.19M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp5
Fra:1 Mem:69.26M (Peak 69.26M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem5
Fra:1 Mem:69.27M (Peak 69.27M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp6
Fra:1 Mem:69.29M (Peak 69.29M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem6
Fra:1 Mem:69.36M (Peak 69.36M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp7
Fra:1 Mem:69.40M (Peak 69.40M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem7
Fra:1 Mem:69.42M (Peak 69.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cape0
Fra:1 Mem:69.42M (Peak 69.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cape1
Fra:1 Mem:69.54M (Peak 69.54M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cape2
Fra:1 Mem:69.59M (Peak 69.59M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSleeve-1
Fra:1 Mem:69.68M (Peak 69.68M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KHand-1
Fra:1 Mem:69.71M (Peak 69.71M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSleeve1
Fra:1 Mem:69.71M (Peak 69.71M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KThigh-1
Fra:1 Mem:69.77M (Peak 69.77M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KBoot-1
Fra:1 Mem:69.86M (Peak 69.86M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KThigh1
Fra:1 Mem:69.87M (Peak 69.87M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Aura
Fra:1 Mem:69.90M (Peak 69.90M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Br-0.55
Fra:1 Mem:69.91M (Peak 69.91M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Br2-0.55
Fra:1 Mem:69.94M (Peak 69.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Br0.55
Fra:1 Mem:70.02M (Peak 70.02M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Br20.55
